project_id,scheme,state,district,latitude,longitude,beneficiary_count,fund_allocated_lakhs,fund_utilized_lakhs,inspection_count,previous_issues,report_delay_days,attendance_rate_pct,previous_risk_score,attendance_records_valid,geotagged_media_count,metadata_match_flag,gps_location_variance_km,flagged_for_audit,risk_score,risk_category
PROJ_DEL_1158,Skill Development,Delhi,East Delhi,28.6197,77.2857,2153,67.42,37.97,1,1,15,44.91,0.0643,0,2,1,0.61,0,0.8738,Critical
PROJ_DEL_1159,Child Nutrition,Delhi,South Delhi,28.5439,77.2436,2925,88.49,83.6,3,2,40,83.06,0.3717,1,9,1,10.53,0,0.1283,Low
PROJ_DEL_1160,Child Nutrition,Delhi,South Delhi,28.5524,77.2437,3794,44.53,32.15,1,0,31,56.72,0.2081,1,8,1,6.48,0,0.408,Medium
PROJ_DEL_1161,Digital Literacy,Delhi,North Delhi,28.6606,77.1206,1539,6.35,4.76,5,0,3,79.01,0.3309,1,13,0,2.57,1,0.9443,Critical
PROJ_DEL_1162,Rural Health Drive,Delhi,North Delhi,28.6537,77.1352,1287,7.08,6.5,1,1,41,55.28,0.0176,1,15,1,4.62,1,0.7464,Critical
PROJ_DEL_1163,Skill Development,Delhi,West Delhi,28.6387,77.109,2125,46.17,37.86,1,0,41,97.42,0.0428,1,15,1,9.24,0,0.0967,Low
PROJ_DEL_1164,Digital Literacy,Delhi,East Delhi,28.639,77.2829,2368,52.49,36.85,1,1,34,81.7,0.501,1,15,0,9.86,1,0.9188,Critical
PROJ_DEL_1165,Child Nutrition,Delhi,South Delhi,28.5561,77.2302,2027,42.93,38.2,2,1,6,78.42,0.3457,1,8,0,8.43,1,0.9185,Critical
PROJ_DEL_1166,Skill Development,Delhi,South Delhi,28.5504,77.1988,2355,18.43,11.22,1,0,40,74.91,0.1739,1,16,1,6.81,0,0.1974,Low
PROJ_DEL_1167,Women Empowerment,Delhi,Central Delhi,28.6511,77.1982,1904,50.04,27.53,1,2,0,97.0,0.5422,1,8,1,9.64,0,0.1396,Low
PROJ_DEL_1168,Women Empowerment,Delhi,South Delhi,28.5274,77.1987,4629,61.86,37.81,2,0,43,70.01,0.6828,1,8,1,2.75,1,0.5167,Medium
PROJ_DEL_1169,Digital Literacy,Delhi,South Delhi,28.5685,77.2414,1180,69.85,65.8,3,2,31,85.14,0.1568,1,10,1,8.73,0,0.1262,Low
PROJ_DEL_1170,Child Nutrition,Delhi,North Delhi,28.656,77.1293,4811,79.84,80.34,1,1,21,41.81,0.6353,1,8,1,3.08,1,0.4758,Medium
PROJ_DEL_1171,Child Nutrition,Delhi,West Delhi,28.6547,77.0885,2199,40.55,35.27,5,3,32,47.44,0.0675,0,11,1,9.14,1,0.9184,Critical
PROJ_DEL_1172,Digital Literacy,Delhi,East Delhi,28.6035,77.264,1782,17.98,13.8,3,0,25,42.54,0.6679,1,18,0,1.67,1,0.7392,Critical
PROJ_DEL_1173,Women Empowerment,Delhi,North Delhi,28.6651,77.1248,4629,82.97,49.48,5,0,28,54.59,0.7138,1,16,1,9.19,1,0.6965,Critical
PROJ_DEL_1174,Rural Health Drive,Delhi,Central Delhi,28.622,77.2311,2147,13.68,12.41,4,1,22,41.54,0.5484,1,13,1,8.98,0,0.8087,Critical
PROJ_DEL_1175,Rural Health Drive,Delhi,North Delhi,28.6653,77.1211,747,17.82,18.28,2,0,25,79.82,0.2551,1,14,0,10.56,1,0.9137,Critical
PROJ_DEL_1176,Skill Development,Delhi,East Delhi,28.6417,77.3141,586,40.24,37.02,3,0,21,66.58,0.1855,1,12,0,5.22,1,0.9203,Critical
PROJ_DEL_1177,Women Empowerment,Delhi,North Delhi,28.668,77.121,2391,47.65,27.94,3,2,25,63.77,0.0439,1,7,0,1.87,0,0.2601,Low
PROJ_DEL_1178,Child Nutrition,Delhi,North Delhi,28.7046,77.1453,1911,91.63,48.52,3,2,15,59.52,0.114,1,14,1,2.96,0,0.1436,Low
PROJ_DEL_1179,Rural Health Drive,Delhi,North Delhi,28.6511,77.1438,4203,91.97,62.39,5,1,2,43.51,0.781,0,17,1,3.57,1,0.7954,Critical
PROJ_DEL_1180,Skill Development,Delhi,South Delhi,28.5564,77.2239,3270,13.61,8.3,5,0,22,58.38,0.5851,1,17,1,1.71,0,0.4183,Medium
PROJ_DEL_1181,Digital Literacy,Delhi,North Delhi,28.7036,77.1297,3179,50.35,41.73,1,3,6,60.71,0.4203,1,16,1,0.63,0,0.1335,Low
PROJ_DEL_1182,Rural Health Drive,Delhi,East Delhi,28.5959,77.2869,2070,62.82,53.21,2,0,29,96.72,0.2725,0,12,1,1.77,0,0.8321,Critical
PROJ_DEL_1183,Women Empowerment,Delhi,West Delhi,28.6789,77.0751,2210,14.31,12.93,2,0,36,49.28,0.7712,1,14,1,1.89,1,0.7057,Critical
PROJ_DEL_1184,Skill Development,Delhi,Central Delhi,28.6163,77.223,1673,42.75,23.17,4,0,15,91.37,0.602,1,19,1,4.35,0,0.112,Low
PROJ_DEL_1185,Digital Literacy,Delhi,West Delhi,28.6577,77.1156,2664,65.59,66.6,4,0,44,90.29,0.1252,1,19,1,11.8,0,0.097,Low
PROJ_DEL_1186,Rural Health Drive,Delhi,North Delhi,28.6806,77.14,4655,66.09,43.48,3,3,32,61.43,0.0481,1,2,0,11.84,1,0.8941,Critical
PROJ_DEL_1187,Women Empowerment,Delhi,North Delhi,28.6752,77.1177,4319,7.31,7.24,1,0,5,59.91,0.7333,1,4,1,5.63,0,0.1341,Low
PROJ_DEL_1188,Women Empowerment,Delhi,South Delhi,28.5122,77.2459,121,86.26,70.02,3,0,17,50.27,0.6915,0,13,1,8.8,1,0.8675,Critical
PROJ_DEL_1189,Child Nutrition,Delhi,North Delhi,28.6752,77.1177,3668,5.9,5.5,2,2,44,97.09,0.2752,1,4,0,5.23,1,0.9342,Critical
PROJ_DEL_1190,Skill Development,Delhi,South Delhi,28.5282,77.2228,4375,76.68,63.28,5,0,4,68.11,0.5726,1,19,1,3.04,0,0.1136,Low
PROJ_DEL_1191,Skill Development,Delhi,North Delhi,28.6622,77.1312,3881,65.56,48.32,5,0,4,83.19,0.2596,1,4,1,8.24,0,0.0962,Low
PROJ_DEL_1192,Child Nutrition,Delhi,West Delhi,28.658,77.1132,213,15.34,14.32,4,2,39,69.21,0.3305,1,15,1,2.62,1,0.636,Medium
PROJ_DEL_1193,Skill Development,Delhi,South Delhi,28.5551,77.2282,536,85.34,85.84,5,0,4,68.55,0.0911,1,13,1,3.44,0,0.0985,Low
PROJ_DEL_1194,Skill Development,Delhi,North Delhi,28.6821,77.138,3652,34.35,22.45,5,1,25,40.81,0.6616,0,7,0,3.25,1,0.9393,Critical
PROJ_DEL_1195,Rural Health Drive,Delhi,South Delhi,28.5394,77.2426,599,63.79,37.9,1,0,34,98.24,0.069,1,13,1,0.63,0,0.0967,Low
PROJ_DEL_1196,Digital Literacy,Delhi,Central Delhi,28.6112,77.2396,556,88.64,80.78,2,1,11,70.95,0.5366,1,19,0,5.54,1,0.9222,Critical
PROJ_DEL_1197,Digital Literacy,Delhi,West Delhi,28.6648,77.072,1822,33.95,30.86,4,0,25,53.21,0.3023,1,11,1,2.98,0,0.4542,Medium
PROJ_DEL_1198,Skill Development,Delhi,South Delhi,28.5423,77.1983,2511,84.64,71.95,2,2,26,62.48,0.2767,1,5,1,9.86,0,0.4366,Medium
PROJ_DEL_1199,Digital Literacy,Delhi,North Delhi,28.6919,77.109,2401,57.63,42.86,4,0,0,40.94,0.6317,1,12,1,9.79,0,0.1269,Low
